순번,의료기관명,의료기관 분류,의료기관 주소,Latitude,Longitude,의료기관 전화번호
1,강남세종한방병원,한방병원,세종특별자치시  대평동 694번지 알파메디컬센터,36.4715517,127.2763529,044-863-7775
2,세종하이한방병원,한방병원,세종특별자치시 갈매로 58,36.4710345,127.2754419,044-999-1999
3,서울현병원,병원,세종특별자치시 나성북로 15,36.4897308,127.2584009,1600-5626
4,아름드리나무어린이병원,병원,세종특별자치시 보듬3로 101,36.5113991,127.2484173,044-715-7200
5,세종경희한방병원,한방병원,세종특별자치시 대평4길 17,36.4732571,127.2759751,044-414-9599
6,오케이한방병원,한방병원,세종특별자치시 한누리대로 331,36.4939302,127.2558473,1668-0090
7,세종충남대학교병원,종합병원,세종특별자치시 보듬7로 20,36.5195969,127.2581135,1800-3114
8,트리니움여성병원,병원,세종특별자치시 한누리대로 1934,36.4921056,127.3029201,044-270-0114
9,의료법인 영제 의료재단 엔케이세종병원,종합병원,세종특별자치시 한누리대로 161,36.4796202,127.2622587,044-850-7700
10,단국대학교 치과대학 세종치과병원,치과병원,세종특별자치시 도움8로 87,36.5043979,127.2711385,044-410-5000
11,의료법인은혜의료재단 은혜병원,정신병원,세종특별자치시 연서면 효교로 135-30,36.5704843,127.2384069,044-868-5004
12,운주산성요양병원,요양병원(일반요양병원),세종특별자치시 전동면 모산고개길 96-25,36.6689471,127.2243368,1544-0240
13,조치원노인전문병원,요양병원(일반요양병원),세종특별자치시 연서면 도신고복로 789-17,36.6131897,127.2377661,044-862-7607
14,의료법인 선은의료재단 중앙요양병원,요양병원(일반요양병원),세종특별자치시 조치원읍 섭골길 37,36.6134044,127.2884773,044-865-0066
15,류마플러스내과의원,의원,"세종특별자치시 한누리대로 499, 청암빌딩 401호 (어진동)",36.5073391,127.2622843,044-715-7550
16,정담한의원,한의원,"세종특별자치시 한누리대로 245, 에스알파크원 203호 (나성동)",36.4837102,127.2649027,044-864-5657
17,더본한의원,한의원,"세종특별자치시 소담로 93, 아이콤스타시티타워 205,206,207호 (소담동)",36.4858668,127.3013816,044-862-7506
18,청담와이즈의원,의원,"세종특별자치시 한누리대로 499, 청암빌딩 403호 (어진동)",36.5073391,127.2622843,044-868-7575
19,가온한의원,한의원,"세종특별자치시 한누리대로 492, 청암홈빌딩 306호 (어진동)",36.5073908,127.262295,044-866-1998
20,세종대왕한의원,한의원,"세종특별자치시 도움3로 105-5, 종촌 중앙프라자 204,205,206호 (종촌동)",36.504743,127.2494236,044-863-8279
21,세종미체원365의원,의원,"세종특별자치시 한누리대로 1834, 401,402,403호 (반곡동)",36.4920077,127.3115268,044-865-3651
22,아워스한의원,한의원,"세종특별자치시 한누리대로 253, 에스빌딩 202호 (나성동)",36.4837425,127.2651176,044-905-0445
23,라메종의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 503호 (해밀동)",36.5284833,127.2646737,044-715-7878
24,경희피어라한의원,한의원,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 203호 (아름동)",36.5116352,127.2432425,044-864-0712
25,백룡의원,의원,세종특별자치시 금남면 채나무길 71,36.4262106,127.2689444,042-829-6171
26,백룡치과의원,치과의원,세종특별자치시 금남면 채나무길 71,36.4262106,127.2689444,042-829-6171
